	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSSSCG00000000002	98.0640038609164	0.616468675581142	0.125164515286404	4.92526715076176	8.42451764455048e-07	0.000311707152848368
ENSSSCG00000000021	15.4073631013955	0.905129125030729	0.222525049243152	4.06753814057895	4.75124337771951e-05	0.00405865519558143
ENSSSCG00000000077	713.963209253248	-0.222812533977928	0.0646642814670092	-3.44568174149749	0.00056962078860992	0.0200289987874071
ENSSSCG00000000086	5.28088904643571	1.45177292345128	0.350813701836526	4.13830165655213	3.49886157160151e-05	0.00325494093632415
ENSSSCG00000000091	604.824383251307	-0.167674683117493	0.0601072170931318	-2.78959318408791	0.00527743072339378	0.0815147743613384
ENSSSCG00000000105	17.2954486059678	0.608827574316995	0.170309888891251	3.57482221543666	0.000350465960640547	0.0145550659163982
ENSSSCG00000000107	665.148158720753	-0.295242173631683	0.0601157340543908	-4.91122961859797	9.05070255321608e-07	0.00031350093099225
ENSSSCG00000000160	222.238170492827	-0.18417395001787	0.0669396686556167	-2.75134242096995	0.00593515670953134	0.0878403193010638
ENSSSCG00000000181	11.0657278545498	0.432722175953419	0.15343978257923	2.82014330755441	0.00480022067737106	0.0768438397572713
ENSSSCG00000000182	21.4862181569924	-0.600164160867113	0.187843493729132	-3.19502235053477	0.00139820012073164	0.03442306754874
ENSSSCG00000000186	11.7360687081417	0.367997553843861	0.13190668131584	2.78983255565896	0.00527353072262365	0.0815147743613384
ENSSSCG00000000217	185.345059952986	0.234805383794126	0.0841332782124711	2.79087406057263	0.00525659212093998	0.0815022092656218
ENSSSCG00000000250	3.40818545593308	-0.780295938379192	0.229346412854676	-3.40225917932112	0.000668312256272313	0.021682155150736
ENSSSCG00000000259	136.760580208479	-0.269124251484573	0.0675682190756117	-3.98300051660991	6.8050607595025e-05	0.00520123892792022
ENSSSCG00000000265	191.124483374499	0.511747531300616	0.141133134964195	3.6259913834582	0.000287854952693085	0.0129813812461037
ENSSSCG00000000272	292.969606750657	0.369087576810278	0.13272622774971	2.78081870529983	0.0054222008132279	0.0826530236323504
ENSSSCG00000000282	40.981580503138	0.357445191021665	0.1244126118758	2.87306234980822	0.00406513879312207	0.0687232186417728
ENSSSCG00000000435	3.45682297923332	0.72725857339075	0.246025346972582	2.95603108517025	0.00311625681903739	0.058046522899232
ENSSSCG00000000439	3.41053820143967	1.16812261454522	0.348474411969171	3.35210441404966	0.000801997651520013	0.024464733016902
ENSSSCG00000000443	39.5388451454411	-0.392634702634193	0.116395640357329	-3.37327670889412	0.000742792650631526	0.0231972196458368
ENSSSCG00000000492	13385.7414751579	0.420625082459431	0.153202540663758	2.74554900093074	0.00604097453378689	0.0889571870752957
ENSSSCG00000000566	2.16867359858254	1.2027250904349	0.444546600633557	2.70550958824295	0.00681996794127685	0.095222193897073
ENSSSCG00000000567	9.73455026344735	1.0723236343761	0.286190278433805	3.74689049622672	0.000179040196581012	0.00960858225830813
ENSSSCG00000000574	4.72477277745686	2.22653674313645	0.655692581919109	3.39570220028985	0.000684527924504983	0.022023941918856
ENSSSCG00000000583	270.007815936285	-0.21280478835364	0.063535721115202	-3.34937236279707	0.000809948637430833	0.024491220288123
ENSSSCG00000000588	8.31542554139097	-0.742218652665168	0.231274184969279	-3.20925853771254	0.00133077770964251	0.0335892420356279
ENSSSCG00000000597	2.7281551711144	-0.879177436548058	0.31109031176738	-2.82611641472612	0.00471161371489897	0.0760208833285979
ENSSSCG00000000623	161.834302669252	0.705462468473759	0.183997887725813	3.83407916902292	0.00012603554692871	0.00765730538091544
ENSSSCG00000000642	14.8946816990793	1.10038883054802	0.383360290374626	2.87037770519399	0.00409981752219274	0.0690942331897493
ENSSSCG00000000661	145.929153504994	-0.324330108031702	0.111691960739316	-2.90379097909001	0.00368674203562887	0.0649568834848896
ENSSSCG00000000675	297.715664756988	0.527841486489375	0.1599491992134	3.30005707490378	0.000966651672371032	0.0272267979692048
ENSSSCG00000000683	187.461610897035	0.657513613421738	0.142938845011811	4.59996450487205	4.22562936546383e-06	0.000835625396912058
ENSSSCG00000000688	107.693075520734	0.922635418823132	0.170425403930989	5.41372000618369	6.17286662140019e-08	4.7854413617331e-05
ENSSSCG00000000693	558.943007320502	0.31890847335537	0.0826083673379392	3.86048633609669	0.000113161568994336	0.00722458958128542
ENSSSCG00000000723	123.717916262479	0.223575651274321	0.0757297368382612	2.95228348345935	0.00315433197174579	0.0584215295790915
ENSSSCG00000000739	80.3622907966683	0.687212629730288	0.154117273802532	4.45902404561608	8.23336851273747e-06	0.00123985837377195
ENSSSCG00000000743	2898.89223320048	0.307247939684633	0.113690857610498	2.70248590029338	0.00688231033627491	0.0958460327412793
ENSSSCG00000000746	547.368619404168	0.486465600795515	0.157834501699108	3.08212460240729	0.00205528785364902	0.0443179950429219
ENSSSCG00000000757	171.864203505615	0.245520149007316	0.0861079499970404	2.85130640104374	0.00435399912378452	0.0721089580215788
ENSSSCG00000000802	3.18991872649107	-1.17222062244389	0.404325025783195	-2.89920372891401	0.00374111721225129	0.065539957943367
ENSSSCG00000000837	70.3987331150391	0.404769203264798	0.148321826792113	2.72899283955098	0.00635280833371586	0.0913637099583871
ENSSSCG00000000838	13.7699881572591	0.498703006598956	0.169486384528125	2.94243698682592	0.00325640050899383	0.0599030511710956
ENSSSCG00000000842	684.870352812167	-0.198597668357599	0.0656414958369346	-3.02548968187671	0.00248230874149197	0.0504141452214385
ENSSSCG00000000849	4074.23601309438	0.418560053882138	0.0876473843275138	4.77549965801713	1.79261595874789e-06	0.000472087041233066
ENSSSCG00000000866	13.7452570474199	1.04239797432655	0.277274167354291	3.75944857854216	0.000170288272298368	0.00930299688932026
ENSSSCG00000000896	25.2397141795173	1.43720243811954	0.333181478223741	4.31357242840017	1.60637480209617e-05	0.00185473629632097
ENSSSCG00000000914	5714.20899646312	-0.351793131687235	0.116116568256456	-3.0296549146222	0.00244833306150119	0.0501249253472743
ENSSSCG00000000943	0.553423829317135	-1.08877292088129	0.395198140460533	-2.75500517186776	0.00586912077183812	0.0871101664470366
ENSSSCG00000000950	100.89887520062	0.587892330482163	0.150975995458472	3.8939457143296	9.86267300703375e-05	0.0066348891138227
ENSSSCG00000000951	11.1565907211838	0.701367051550851	0.216284545205288	3.24279781935017	0.00118362171463945	0.0310758161476583
ENSSSCG00000000958	522.761316847662	-0.326617732459113	0.0809311599080689	-4.03574757646034	5.44287103781982e-05	0.00443049702478533
ENSSSCG00000000978	3.02453598619766	1.09414409819738	0.334427619078766	3.27169179749979	0.00106906047735799	0.028822161020569
ENSSSCG00000000981	676.937264875713	0.33267778833427	0.0924815519183348	3.59723405839944	0.000321619054783346	0.0137788373996655
ENSSSCG00000000982	8.25099615146419	1.5330571154206	0.229209753193346	6.68844625528398	2.25552450394172e-11	7.34398778483423e-08
ENSSSCG00000000983	4.59301253346291	1.58890995064949	0.35022606023798	4.53681245070633	5.71108525378562e-06	0.000979760467028167
ENSSSCG00000001010	1359.12824934373	-0.151724294136292	0.0442681945976805	-3.42738834314787	0.000609416865924718	0.0206293696177165
ENSSSCG00000001022	2107.33383956076	0.371764662720319	0.104115571309992	3.57069224173426	0.00035603903147973	0.0146371601830556
ENSSSCG00000001027	1323.67843851593	0.412353560538754	0.13413806473722	3.07409802986622	0.00211140041198595	0.0450206152589651
ENSSSCG00000001050	242.727770007648	1.05649476063209	0.28915580164887	3.65372146990506	0.000258466645050707	0.0120568394883252
ENSSSCG00000001065	57.2821074239431	0.327989228793804	0.0872759613726613	3.75807064895357	0.000171228540731281	0.00930662587701044
ENSSSCG00000001099	89.8748872999369	0.394745887236379	0.14067627106915	2.80605879183661	0.00501515410245044	0.0795002032988249
ENSSSCG00000001138	7.85497469537774	0.728841151560229	0.213388654624822	3.4155571805899	0.000636516639808876	0.0211356582072257
ENSSSCG00000001204	17.0422799054305	-0.524849729152583	0.14517376916571	-3.61532067513854	0.000299976065367841	0.0132706802831208
ENSSSCG00000001207	129.53395595327	-0.302334269440788	0.100952465205029	-2.99481809410759	0.00274608556927515	0.0529187169531564
ENSSSCG00000001229	49544.7872886277	0.415642265441898	0.149430034318022	2.78151756665808	0.0054105402432408	0.0826025171267349
ENSSSCG00000001239	4.54823979976397	1.65405255222241	0.616765195132625	2.68181889198001	0.00732230890593805	0.0995882948944624
ENSSSCG00000001392	297.367737383632	0.574042101413128	0.139349228966374	4.11944942696202	3.79778764819577e-05	0.00339714191827621
ENSSSCG00000001394	397.976022388999	0.726657381512846	0.208678746151531	3.48218203776818	0.000497345471309848	0.0185281104643577
ENSSSCG00000001398	5997.23974605135	0.368485713691604	0.0895556247918841	4.1146015624135	3.87848764840091e-05	0.00343161841934603
ENSSSCG00000001404	182.955815995473	0.292480599527581	0.0975648321125109	2.99780764435996	0.00271929246768872	0.0525149245242852
ENSSSCG00000001408	2125.79903982967	0.384977731713225	0.137997238772678	2.78974952786842	0.00527488317159027	0.0815147743613384
ENSSSCG00000001427	80.1232692211734	0.763857103927859	0.215483988696846	3.54484390486428	0.000392845656724123	0.0157491266381985
ENSSSCG00000001440	144.007285295579	0.363173775696807	0.121059131680732	2.9999701026652	0.00270006107605621	0.0523921267201372
ENSSSCG00000001486	108.175081018912	-0.380396704108378	0.083174817575669	-4.57346003509185	4.79735218763832e-06	0.000883151575602671
ENSSSCG00000001507	4019.16309630711	0.333101167329297	0.111946860037322	2.97552934685479	0.00292483363762898	0.0554968433806524
ENSSSCG00000001510	112.241848027787	0.645872732893061	0.143326886467864	4.5062915187087	6.59704395115654e-06	0.00108730317079013
ENSSSCG00000001511	587.164509930831	0.35613247990062	0.129045336886067	2.75974698888225	0.00578461421839399	0.0865565436355277
ENSSSCG00000001516	1605.19494075843	0.362737926757145	0.106147396669214	3.41730403325428	0.000632446074328321	0.0211356582072257
ENSSSCG00000001532	63.0507144100678	0.261687831778441	0.0818591077140871	3.19680777235502	0.00138957496247506	0.0343823253574761
ENSSSCG00000001535	1.26214820626852	1.46474491563562	0.423067993153447	3.46219742296686	0.000535783982647673	0.0191873006187146
ENSSSCG00000001561	896.064744515668	1.01713855972341	0.227443733946161	4.47204476498871	7.7475203627989e-06	0.00118990218402232
ENSSSCG00000001566	32.0450562742641	0.747490779631011	0.184927632930104	4.04207185149845	5.29809916654545e-05	0.00437832763610964
ENSSSCG00000001577	224.993867937484	0.171004894403105	0.0481795217466838	3.54932735327278	0.000386216630752621	0.0155636773628321
ENSSSCG00000001588	1.82273643221985	1.61282477967815	0.458105349939922	3.52064166002354	0.000430503968690175	0.0166475168890167
ENSSSCG00000001614	5.10431683389876	1.12441192559011	0.351537623001206	3.19855358863325	0.00138118860346747	0.0343823253574761
ENSSSCG00000001660	5.11278309083937	-0.707605563049762	0.218275385086209	-3.24180192269637	0.00118776545274545	0.0310881375734662
ENSSSCG00000001716	8.01352280780882	1.40893434493057	0.353221295877809	3.98881483470341	6.64042284656778e-05	0.00515764710915689
ENSSSCG00000001782	251.956179150591	-0.546245144398476	0.125954537191093	-4.3368437261592	1.44543314486353e-05	0.00172183529717487
ENSSSCG00000001800	430.359135467961	-0.320274494545795	0.0764708730591286	-4.18818932926467	2.81188896630346e-05	0.00274117080068385
ENSSSCG00000001804	82.8822034915278	-0.305470731909637	0.109581582751494	-2.78761014615362	0.0053098400225428	0.0817052888156869
ENSSSCG00000001835	566.157618679487	0.500120587150008	0.164363187734639	3.04277736422004	0.00234405686194753	0.0488393494457522
ENSSSCG00000001842	20.3086910409907	1.00075466371697	0.222662279426112	4.49449572822262	6.97350032638429e-06	0.00113528585313536
ENSSSCG00000001844	2.43298868106316	1.18547910577147	0.36847210028289	3.21728322133842	0.00129410780730335	0.0330739012604372
ENSSSCG00000001852	3580.98860874727	0.502349131557304	0.118055777718025	4.25518463617394	2.08876578398165e-05	0.0022081238287806
ENSSSCG00000001908	56.2048556578154	1.22153207741639	0.252945506600689	4.82923019203798	1.37061889894044e-06	0.000413216216199081
ENSSSCG00000001930	12494.41365449	0.222054388246443	0.075876981205959	2.92650530789705	0.00342793656310486	0.0617331938576849
ENSSSCG00000001970	352.78068790602	0.435427022423826	0.14390492125097	3.02579660680571	0.00247979051810515	0.0504141452214385
ENSSSCG00000001982	11.8684098458159	-0.555881357983843	0.187029996808071	-2.97215081789411	0.00295721378938899	0.0559157264706768
ENSSSCG00000001987	1899.61882363659	0.431617211307623	0.119364844678591	3.6159491722192	0.000299249093662189	0.0132706802831208
ENSSSCG00000001988	315.347785336978	0.54516606801766	0.189470914869687	2.8773074136081	0.00401084650574282	0.0681592704733749
ENSSSCG00000002012	37.5175170750629	0.659204465751387	0.232499055781999	2.8352995393215	0.00457827371470587	0.0741746528972764
ENSSSCG00000002033	238.543619036326	0.850197586721958	0.245092433279116	3.46888549494197	0.000522622148595161	0.0189494177708891
